#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.578980e+00 -6.320181e-01  1.256423e-01
 5.032700e+00  4.501488e+00 -5.312120e-01  1.282354e-01
 4.484340e+00  4.161063e+00 -3.232771e-01  1.372875e-01
 3.447220e+00  3.416945e+00 -3.027495e-02  1.607618e-01
 2.084374e+00  2.307640e+00  2.232658e-01  2.152171e-01
 7.998387e-01  1.039521e+00  2.396826e-01  2.613876e-01
 1.940469e-02  1.523711e-01  1.329665e-01  2.613876e-01
 2.921057e-05 -2.174239e-02 -2.177161e-02  2.613876e-01
 7.285977e-01  6.741462e-01 -5.445155e-02  2.613876e-01
 1.889364e+00  1.902648e+00  1.328386e-02  2.259503e-01
 2.942955e+00  3.045368e+00  1.024126e-01  1.768235e-01
 3.366410e+00  3.520875e+00  1.544650e-01  1.630800e-01
 2.942955e+00  3.045438e+00  1.024829e-01  1.768235e-01
 1.889362e+00  1.901891e+00  1.252889e-02  2.259504e-01
 7.285884e-01  7.033206e-01 -2.526779e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.523734e-01  1.329687e-01  2.613876e-01
 7.998387e-01  1.039541e+00  2.397024e-01  2.613876e-01
 2.084374e+00  2.307642e+00  2.232685e-01  2.152171e-01
 3.447223e+00  3.416799e+00 -3.042355e-02  1.607617e-01
 4.484344e+00  4.160426e+00 -3.239179e-01  1.372874e-01
 5.032698e+00  4.501379e+00 -5.313197e-01  1.282354e-01
 5.210998e+00  4.578576e+00 -6.324217e-01  1.256423e-01
 5.236732e+00  4.579887e+00 -6.568449e-01  1.252804e-01
