#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.758717e+00  1.555557e+00 -2.031603e-01  2.178764e-01
 2.643339e+00  2.194372e+00 -4.489673e-01  1.759982e-01
 2.909667e+00  2.594530e+00 -3.151370e-01  1.662593e-01
 2.960348e+00  2.658833e+00 -3.015147e-01  1.645498e-01
 2.927587e+00  2.676551e+00 -2.510353e-01  1.656499e-01
 2.875554e+00  2.708698e+00 -1.668558e-01  1.674348e-01
 2.685293e+00  2.626826e+00 -5.846693e-02  1.743759e-01
 2.081119e+00  2.145486e+00  6.436678e-02  2.011497e-01
 1.057507e+00  1.329647e+00  2.721397e-01  2.439028e-01
 2.042141e-01  5.768709e-01  3.726568e-01  2.441042e-01
 2.087919e-02  3.899222e-01  3.690430e-01  2.441042e-01
 6.122781e-01  9.258843e-01  3.136062e-01  2.441042e-01
 1.720603e+00  1.771430e+00  5.082752e-02  2.198703e-01
 2.574574e+00  2.524105e+00 -5.046912e-02  1.787322e-01
 2.898985e+00  3.001489e+00  1.025039e-01  1.666253e-01
 2.958953e+00  3.128795e+00  1.698423e-01  1.645963e-01
 2.918949e+00  3.136664e+00  2.177155e-01  1.659430e-01
 2.850289e+00  2.976215e+00  1.259265e-01  1.683186e-01
 2.606833e+00  2.538238e+00 -6.859551e-02  1.774379e-01
 2.010017e+00  1.629546e+00 -3.804714e-01  2.047529e-01
 1.133431e+00  6.300905e-01 -5.033407e-01  2.430296e-01
 2.916353e-01 -2.184575e-02 -3.134811e-01  2.441042e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.441042e-01
 5.368411e-01  6.654249e-01  1.285838e-01  2.441042e-01
