#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.758717e+00  1.558395e+00 -2.003223e-01  2.178764e-01
 2.643339e+00  2.196160e+00 -4.471789e-01  1.759982e-01
 2.909667e+00  2.593486e+00 -3.161811e-01  1.662593e-01
 2.960348e+00  2.655883e+00 -3.044649e-01  1.645498e-01
 2.927587e+00  2.673811e+00 -2.537759e-01  1.656499e-01
 2.875554e+00  2.707657e+00 -1.678969e-01  1.674348e-01
 2.685293e+00  2.627344e+00 -5.794937e-02  1.743759e-01
 2.081119e+00  2.145601e+00  6.448221e-02  2.011497e-01
 1.057507e+00  1.328549e+00  2.710416e-01  2.439028e-01
 2.042141e-01  5.755328e-01  3.713187e-01  2.441042e-01
 2.087919e-02  3.898723e-01  3.689931e-01  2.441042e-01
 6.122781e-01  9.278985e-01  3.156204e-01  2.441042e-01
 1.720603e+00  1.774593e+00  5.398992e-02  2.198703e-01
 2.574574e+00  2.525752e+00 -4.882272e-02  1.787322e-01
 2.898985e+00  3.000224e+00  1.012397e-01  1.666253e-01
 2.958953e+00  3.125874e+00  1.669204e-01  1.645963e-01
 2.918949e+00  3.134300e+00  2.153517e-01  1.659430e-01
 2.850289e+00  2.975706e+00  1.254176e-01  1.683186e-01
 2.606833e+00  2.538925e+00 -6.790804e-02  1.774379e-01
 2.010017e+00  1.629504e+00 -3.805135e-01  2.047529e-01
 1.133431e+00  6.289834e-01 -5.044478e-01  2.430296e-01
 2.916353e-01 -2.296325e-02 -3.145986e-01  2.441042e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.441042e-01
 5.368411e-01  6.671636e-01  1.303225e-01  2.441042e-01
