#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  2.029024e+00  4.611512e-02  1.904050e-01
 1.311862e+00  1.523250e+00  2.113878e-01  2.202942e-01
 5.008413e-01  7.403555e-01  2.395142e-01  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  6.571428e-02 -6.297637e-03  2.254656e-01
 6.125667e-01  7.984204e-01  1.858537e-01  2.254656e-01
 1.341425e+00  1.405602e+00  6.417633e-02  2.193354e-01
 1.829615e+00  1.709846e+00 -1.197687e-01  1.977974e-01
 2.075229e+00  1.999298e+00 -7.593072e-02  1.860640e-01
 2.246819e+00  2.299397e+00  5.257781e-02  1.783411e-01
 2.361310e+00  2.418274e+00  5.696479e-02  1.734797e-01
 2.314953e+00  2.303498e+00 -1.145518e-02  1.754185e-01
 2.050665e+00  1.937282e+00 -1.133832e-01  1.872079e-01
 1.495590e+00  1.360810e+00 -1.347796e-01  2.134199e-01
 6.620377e-01  5.496644e-01 -1.123734e-01  2.254656e-01
 5.217741e-03 -1.728952e-01 -1.781129e-01  2.254656e-01
 1.497199e-01 -1.162362e-01 -2.659561e-01  2.254656e-01
 8.439427e-01  6.265527e-01 -2.173900e-01  2.254656e-01
 1.477901e+00  1.230636e+00 -2.472649e-01  2.141639e-01
 1.836285e+00  1.574033e+00 -2.622513e-01  1.974732e-01
 2.043462e+00  1.921577e+00 -1.218852e-01  1.875450e-01
 2.207494e+00  2.252997e+00  4.550356e-02  1.800666e-01
 2.349869e+00  2.356151e+00  6.281885e-03  1.739544e-01
 2.319770e+00  2.267189e+00 -5.258125e-02  1.752152e-01
