#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.758717e+00  1.522800e+00 -2.359178e-01  2.178764e-01
 2.643339e+00  2.150931e+00 -4.924083e-01  1.759982e-01
 2.909667e+00  2.577529e+00 -3.321379e-01  1.662593e-01
 2.960348e+00  2.687249e+00 -2.730984e-01  1.645498e-01
 2.927587e+00  2.737217e+00 -1.903695e-01  1.656499e-01
 2.875554e+00  2.765566e+00 -1.099880e-01  1.674348e-01
 2.685293e+00  2.646564e+00 -3.872924e-02  1.743759e-01
 2.081119e+00  2.131480e+00  5.036086e-02  2.011497e-01
 1.057507e+00  1.307134e+00  2.496270e-01  2.439028e-01
 2.042141e-01  5.662282e-01  3.620141e-01  2.441042e-01
 2.087919e-02  3.890728e-01  3.681936e-01  2.441042e-01
 6.122781e-01  9.140322e-01  3.017541e-01  2.441042e-01
 1.720603e+00  1.733359e+00  1.275655e-02  2.198703e-01
 2.574574e+00  2.479859e+00 -9.471576e-02  1.787322e-01
 2.898985e+00  2.988876e+00  8.989135e-02  1.666253e-01
 2.958953e+00  3.163410e+00  2.044570e-01  1.645963e-01
 2.918949e+00  3.199063e+00  2.801141e-01  1.659430e-01
 2.850289e+00  3.025797e+00  1.755082e-01  1.683186e-01
 2.606833e+00  2.546422e+00 -6.041134e-02  1.774379e-01
 2.010017e+00  1.609450e+00 -4.005671e-01  2.047529e-01
 1.133431e+00  6.076853e-01 -5.257460e-01  2.430296e-01
 2.916353e-01 -3.163167e-02 -3.232670e-01  2.441042e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.441042e-01
 5.368411e-01  6.563274e-01  1.194864e-01  2.441042e-01
