#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.577972e+00 -6.330258e-01  1.256423e-01
 5.032700e+00  4.501373e+00 -5.313274e-01  1.282354e-01
 4.484340e+00  4.161491e+00 -3.228491e-01  1.372875e-01
 3.447220e+00  3.416958e+00 -3.026164e-02  1.607618e-01
 2.084374e+00  2.306680e+00  2.223062e-01  2.152171e-01
 7.998387e-01  1.038098e+00  2.382595e-01  2.613876e-01
 1.940469e-02  1.514452e-01  1.320405e-01  2.613876e-01
 2.921057e-05 -2.174266e-02 -2.177187e-02  2.613876e-01
 7.285977e-01  6.746162e-01 -5.398152e-02  2.613876e-01
 1.889364e+00  1.902657e+00  1.329327e-02  2.259503e-01
 2.942955e+00  3.044378e+00  1.014224e-01  1.768235e-01
 3.366410e+00  3.519361e+00  1.529510e-01  1.630800e-01
 2.942955e+00  3.044448e+00  1.014927e-01  1.768235e-01
 1.889362e+00  1.901900e+00  1.253829e-02  2.259504e-01
 7.285884e-01  7.037904e-01 -2.479798e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.514474e-01  1.320427e-01  2.613876e-01
 7.998387e-01  1.038118e+00  2.382793e-01  2.613876e-01
 2.084374e+00  2.306683e+00  2.223089e-01  2.152171e-01
 3.447223e+00  3.416813e+00 -3.041024e-02  1.607617e-01
 4.484344e+00  4.160854e+00 -3.234899e-01  1.372874e-01
 5.032698e+00  4.501263e+00 -5.314350e-01  1.282354e-01
 5.210998e+00  4.577568e+00 -6.334295e-01  1.256423e-01
 5.236732e+00  4.578466e+00 -6.582663e-01  1.252804e-01
