#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.081157e+00  1.034645e+00 -4.651197e-02  2.134019e-01
 1.011242e-01 -3.082211e-02 -1.319463e-01  2.137524e-01
 1.885039e-04 -1.564118e-03 -1.752622e-03  2.137524e-01
 7.574311e-01  8.678236e-01  1.103925e-01  2.137524e-01
 1.770055e+00  1.895227e+00  1.251718e-01  1.902647e-01
 2.247264e+00  2.360005e+00  1.127417e-01  1.690577e-01
 1.775893e+00  1.902311e+00  1.264172e-01  1.899961e-01
 7.686505e-01  8.757596e-01  1.071092e-01  2.137524e-01
 1.819903e-03  1.139254e-03 -6.806494e-04  2.137524e-01
 1.021146e-01 -3.090025e-02 -1.330148e-01  2.137524e-01
 1.075660e+00  1.026751e+00 -4.890895e-02  2.134476e-01
 1.904862e+00  2.038689e+00  1.338269e-01  1.840629e-01
 1.075864e+00  1.027043e+00 -4.882024e-02  2.134460e-01
 1.021245e-01 -3.135602e-02 -1.334805e-01  2.137524e-01
 1.434738e-03  1.655332e-03  2.205940e-04  2.137524e-01
 7.686049e-01  8.755383e-01  1.069334e-01  2.137524e-01
 1.775929e+00  1.902261e+00  1.263317e-01  1.899944e-01
 2.247218e+00  2.360108e+00  1.128901e-01  1.690596e-01
 1.770127e+00  1.895386e+00  1.252584e-01  1.902613e-01
 7.576089e-01  8.675382e-01  1.099293e-01  2.137524e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.137524e-01
 1.004672e-01 -3.072579e-02 -1.311929e-01  2.137524e-01
 1.081164e+00  1.034654e+00 -4.650972e-02  2.134018e-01
 1.904706e+00  2.029504e+00  1.247987e-01  1.840701e-01
