#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.573984e+00 -6.370142e-01  1.256423e-01
 5.032700e+00  4.502818e+00 -5.298818e-01  1.282354e-01
 4.484340e+00  4.158667e+00 -3.256726e-01  1.372875e-01
 3.447220e+00  3.401531e+00 -4.568928e-02  1.607618e-01
 2.084374e+00  2.284136e+00  1.997621e-01  2.152171e-01
 7.998387e-01  1.020445e+00  2.206066e-01  2.613876e-01
 1.940469e-02  1.443497e-01  1.249451e-01  2.613876e-01
 2.921057e-05 -2.178536e-02 -2.181457e-02  2.613876e-01
 7.285977e-01  6.722607e-01 -5.633704e-02  2.613876e-01
 1.889364e+00  1.886947e+00 -2.416897e-03  2.259503e-01
 2.942955e+00  3.010393e+00  6.743752e-02  1.768235e-01
 3.366410e+00  3.476430e+00  1.100205e-01  1.630800e-01
 2.942955e+00  3.010463e+00  6.750805e-02  1.768235e-01
 1.889362e+00  1.886192e+00 -3.170310e-03  2.259504e-01
 7.285884e-01  7.014318e-01 -2.715666e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.443520e-01  1.249473e-01  2.613876e-01
 7.998387e-01  1.020465e+00  2.206265e-01  2.613876e-01
 2.084374e+00  2.284139e+00  1.997648e-01  2.152171e-01
 3.447223e+00  3.401386e+00 -4.583717e-02  1.607617e-01
 4.484344e+00  4.158031e+00 -3.263131e-01  1.372874e-01
 5.032698e+00  4.502708e+00 -5.299904e-01  1.282354e-01
 5.210998e+00  4.573549e+00 -6.374493e-01  1.256423e-01
 5.236732e+00  4.570395e+00 -6.663374e-01  1.252804e-01
