#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.081157e+00  7.671871e-01 -3.139701e-01  2.134019e-01
 1.011242e-01 -1.957928e-01 -2.969170e-01  2.137524e-01
 1.885039e-04 -1.627983e-03 -1.816487e-03  2.137524e-01
 7.574311e-01  1.079218e+00  3.217873e-01  2.137524e-01
 1.770055e+00  2.304064e+00  5.340088e-01  1.902647e-01
 2.247264e+00  2.853972e+00  6.067084e-01  1.690577e-01
 1.775893e+00  2.311390e+00  5.354968e-01  1.899961e-01
 7.686505e-01  1.088297e+00  3.196462e-01  2.137524e-01
 1.819903e-03  1.854352e-03  3.444881e-05  2.137524e-01
 1.021146e-01 -1.956107e-01 -2.977252e-01  2.137524e-01
 1.075660e+00  7.597875e-01 -3.158728e-01  2.134476e-01
 1.904862e+00  1.732301e+00 -1.725612e-01  1.840629e-01
 1.075864e+00  7.600949e-01 -3.157689e-01  2.134460e-01
 1.021245e-01 -1.960681e-01 -2.981926e-01  2.137524e-01
 1.434738e-03  2.374199e-03  9.394608e-04  2.137524e-01
 7.686049e-01  1.088064e+00  3.194594e-01  2.137524e-01
 1.775929e+00  2.311341e+00  5.354115e-01  1.899944e-01
 2.247218e+00  2.854075e+00  6.068567e-01  1.690596e-01
 1.770127e+00  2.304217e+00  5.340894e-01  1.902613e-01
 7.576089e-01  1.078919e+00  3.213102e-01  2.137524e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.137524e-01
 1.004672e-01 -1.957358e-01 -2.962030e-01  2.137524e-01
 1.081164e+00  7.671970e-01 -3.139672e-01  2.134018e-01
 1.904706e+00  1.723116e+00 -1.815894e-01  1.840701e-01
