#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.081157e+00  1.034665e+00 -4.649170e-02  2.134019e-01
 1.011242e-01 -3.082534e-02 -1.319495e-01  2.137524e-01
 1.885039e-04 -1.564123e-03 -1.752627e-03  2.137524e-01
 7.574311e-01  8.678673e-01  1.104362e-01  2.137524e-01
 1.770055e+00  1.895334e+00  1.252794e-01  1.902647e-01
 2.247264e+00  2.360145e+00  1.128814e-01  1.690577e-01
 1.775893e+00  1.902418e+00  1.265249e-01  1.899961e-01
 7.686505e-01  8.758037e-01  1.071532e-01  2.137524e-01
 1.819903e-03  1.139303e-03 -6.805997e-04  2.137524e-01
 1.021146e-01 -3.090347e-02 -1.330180e-01  2.137524e-01
 1.075660e+00  1.026771e+00 -4.888884e-02  2.134476e-01
 1.904862e+00  2.038727e+00  1.338649e-01  1.840629e-01
 1.075864e+00  1.027064e+00 -4.880012e-02  2.134460e-01
 1.021245e-01 -3.135924e-02 -1.334838e-01  2.137524e-01
 1.434738e-03  1.655389e-03  2.206512e-04  2.137524e-01
 7.686049e-01  8.755823e-01  1.069774e-01  2.137524e-01
 1.775929e+00  1.902369e+00  1.264393e-01  1.899944e-01
 2.247218e+00  2.360248e+00  1.130297e-01  1.690596e-01
 1.770127e+00  1.895493e+00  1.253660e-01  1.902613e-01
 7.576089e-01  8.675819e-01  1.099730e-01  2.137524e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.137524e-01
 1.004672e-01 -3.072899e-02 -1.311961e-01  2.137524e-01
 1.081164e+00  1.034675e+00 -4.648944e-02  2.134018e-01
 1.904706e+00  2.029542e+00  1.248367e-01  1.840701e-01
