#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.573994e+00 -6.370040e-01  1.256423e-01
 5.032700e+00  4.502801e+00 -5.298990e-01  1.282354e-01
 4.484340e+00  4.158641e+00 -3.256990e-01  1.372875e-01
 3.447220e+00  3.401532e+00 -4.568834e-02  1.607618e-01
 2.084374e+00  2.284179e+00  1.998055e-01  2.152171e-01
 7.998387e-01  1.020506e+00  2.206675e-01  2.613876e-01
 1.940469e-02  1.443895e-01  1.249848e-01  2.613876e-01
 2.921057e-05 -2.178534e-02 -2.181455e-02  2.613876e-01
 7.285977e-01  6.722350e-01 -5.636274e-02  2.613876e-01
 1.889364e+00  1.886930e+00 -2.433349e-03  2.259503e-01
 2.942955e+00  3.010410e+00  6.745474e-02  1.768235e-01
 3.366410e+00  3.476467e+00  1.100568e-01  1.630800e-01
 2.942955e+00  3.010480e+00  6.752528e-02  1.768235e-01
 1.889362e+00  1.886175e+00 -3.186762e-03  2.259504e-01
 7.285884e-01  7.014061e-01 -2.718236e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.443917e-01  1.249870e-01  2.613876e-01
 7.998387e-01  1.020526e+00  2.206874e-01  2.613876e-01
 2.084374e+00  2.284182e+00  1.998082e-01  2.152171e-01
 3.447223e+00  3.401387e+00 -4.583624e-02  1.607617e-01
 4.484344e+00  4.158004e+00 -3.263395e-01  1.372874e-01
 5.032698e+00  4.502691e+00 -5.300076e-01  1.282354e-01
 5.210998e+00  4.573559e+00 -6.374391e-01  1.256423e-01
 5.236732e+00  4.570419e+00 -6.663132e-01  1.252804e-01
