#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  1.982208e+00 -7.010757e-04  1.904050e-01
 1.311862e+00  1.474308e+00  1.624455e-01  2.202942e-01
 5.008413e-01  7.133456e-01  2.125043e-01  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  8.986769e-02  1.785577e-02  2.254656e-01
 6.125667e-01  8.526989e-01  2.401322e-01  2.254656e-01
 1.341425e+00  1.501876e+00  1.604503e-01  2.193354e-01
 1.829615e+00  1.845125e+00  1.550992e-02  1.977974e-01
 2.075229e+00  2.144663e+00  6.943410e-02  1.860640e-01
 2.246819e+00  2.411990e+00  1.651704e-01  1.783411e-01
 2.361310e+00  2.468364e+00  1.070547e-01  1.734797e-01
 2.314953e+00  2.292799e+00 -2.215444e-02  1.754185e-01
 2.050665e+00  1.890552e+00 -1.601138e-01  1.872079e-01
 1.495590e+00  1.310767e+00 -1.848230e-01  2.134199e-01
 6.620377e-01  5.201066e-01 -1.419311e-01  2.254656e-01
 5.217741e-03 -1.747785e-01 -1.799962e-01  2.254656e-01
 1.497199e-01 -9.286732e-02 -2.425872e-01  2.254656e-01
 8.439427e-01  6.806359e-01 -1.633068e-01  2.254656e-01
 1.477901e+00  1.327272e+00 -1.506289e-01  2.141639e-01
 1.836285e+00  1.709547e+00 -1.267377e-01  1.974732e-01
 2.043462e+00  2.066853e+00  2.339069e-02  1.875450e-01
 2.207494e+00  2.364553e+00  1.570589e-01  1.800666e-01
 2.349869e+00  2.404822e+00  5.495290e-02  1.739544e-01
 2.319770e+00  2.255795e+00 -6.397479e-02  1.752152e-01
