#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.758717e+00  1.558255e+00 -2.004620e-01  2.178764e-01
 2.643339e+00  2.196586e+00 -4.467528e-01  1.759982e-01
 2.909667e+00  2.594327e+00 -3.153399e-01  1.662593e-01
 2.960348e+00  2.656541e+00 -3.038063e-01  1.645498e-01
 2.927587e+00  2.673831e+00 -2.537560e-01  1.656499e-01
 2.875554e+00  2.707026e+00 -1.685283e-01  1.674348e-01
 2.685293e+00  2.626545e+00 -5.874831e-02  1.743759e-01
 2.081119e+00  2.145172e+00  6.405365e-02  2.011497e-01
 1.057507e+00  1.328627e+00  2.711199e-01  2.439028e-01
 2.042141e-01  5.757830e-01  3.715689e-01  2.441042e-01
 2.087919e-02  3.899268e-01  3.690476e-01  2.441042e-01
 6.122781e-01  9.277269e-01  3.154489e-01  2.441042e-01
 1.720603e+00  1.774564e+00  5.396142e-02  2.198703e-01
 2.574574e+00  2.526282e+00 -4.829223e-02  1.787322e-01
 2.898985e+00  3.001108e+00  1.021230e-01  1.666253e-01
 2.958953e+00  3.126477e+00  1.675239e-01  1.645963e-01
 2.918949e+00  3.134218e+00  2.152693e-01  1.659430e-01
 2.850289e+00  2.975027e+00  1.247385e-01  1.683186e-01
 2.606833e+00  2.538217e+00 -6.861658e-02  1.774379e-01
 2.010017e+00  1.629240e+00 -3.807775e-01  2.047529e-01
 1.133431e+00  6.291525e-01 -5.042787e-01  2.430296e-01
 2.916353e-01 -2.269902e-02 -3.143344e-01  2.441042e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.441042e-01
 5.368411e-01  6.669046e-01  1.300635e-01  2.441042e-01
