#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.081157e+00  1.034974e+00 -4.618309e-02  2.134019e-01
 1.011242e-01 -3.056215e-02 -1.316863e-01  2.137524e-01
 1.885039e-04 -1.563989e-03 -1.752493e-03  2.137524e-01
 7.574311e-01  8.673464e-01  1.099153e-01  2.137524e-01
 1.770055e+00  1.894220e+00  1.241653e-01  1.902647e-01
 2.247264e+00  2.358754e+00  1.114904e-01  1.690577e-01
 1.775893e+00  1.901304e+00  1.254101e-01  1.899961e-01
 7.686505e-01  8.752796e-01  1.066291e-01  2.137524e-01
 1.819903e-03  1.137859e-03 -6.820444e-04  2.137524e-01
 1.021146e-01 -3.064058e-02 -1.327551e-01  2.137524e-01
 1.075660e+00  1.027080e+00 -4.858017e-02  2.134476e-01
 1.904862e+00  2.039012e+00  1.341497e-01  1.840629e-01
 1.075864e+00  1.027372e+00 -4.849145e-02  2.134460e-01
 1.021245e-01 -3.109637e-02 -1.332209e-01  2.137524e-01
 1.434738e-03  1.653931e-03  2.191938e-04  2.137524e-01
 7.686049e-01  8.750583e-01  1.064534e-01  2.137524e-01
 1.775929e+00  1.901254e+00  1.253245e-01  1.899944e-01
 2.247218e+00  2.358857e+00  1.116388e-01  1.690596e-01
 1.770127e+00  1.894379e+00  1.242519e-01  1.902613e-01
 7.576089e-01  8.670610e-01  1.094521e-01  2.137524e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.137524e-01
 1.004672e-01 -3.046578e-02 -1.309329e-01  2.137524e-01
 1.081164e+00  1.034983e+00 -4.618085e-02  2.134018e-01
 1.904706e+00  2.029827e+00  1.251215e-01  1.840701e-01
