#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.584415e+00 -6.265828e-01  1.256423e-01
 5.032700e+00  4.514876e+00 -5.178245e-01  1.282354e-01
 4.484340e+00  4.174527e+00 -3.098130e-01  1.372875e-01
 3.447220e+00  3.422165e+00 -2.505544e-02  1.607618e-01
 2.084374e+00  2.306436e+00  2.220621e-01  2.152171e-01
 7.998387e-01  1.037886e+00  2.380476e-01  2.613876e-01
 1.940469e-02  1.522086e-01  1.328039e-01  2.613876e-01
 2.921057e-05 -2.178553e-02 -2.181474e-02  2.613876e-01
 7.285977e-01  6.726372e-01 -5.596051e-02  2.613876e-01
 1.889364e+00  1.897480e+00  8.115947e-03  2.259503e-01
 2.942955e+00  3.034619e+00  9.166364e-02  1.768235e-01
 3.366410e+00  3.507085e+00  1.406747e-01  1.630800e-01
 2.942955e+00  3.034689e+00  9.173418e-02  1.768235e-01
 1.889362e+00  1.896725e+00  7.362664e-03  2.259504e-01
 7.285884e-01  7.018095e-01 -2.677891e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.522108e-01  1.328061e-01  2.613876e-01
 7.998387e-01  1.037906e+00  2.380675e-01  2.613876e-01
 2.084374e+00  2.306439e+00  2.220649e-01  2.152171e-01
 3.447223e+00  3.422020e+00 -2.520333e-02  1.607617e-01
 4.484344e+00  4.173890e+00 -3.104536e-01  1.372874e-01
 5.032698e+00  4.514765e+00 -5.179331e-01  1.282354e-01
 5.210998e+00  4.583980e+00 -6.270183e-01  1.256423e-01
 5.236732e+00  4.580497e+00 -6.562353e-01  1.252804e-01
