#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  2.030721e+00  4.781207e-02  1.904050e-01
 1.311862e+00  1.524586e+00  2.127235e-01  2.202942e-01
 5.008413e-01  7.409948e-01  2.401535e-01  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  6.519403e-02 -6.817888e-03  2.254656e-01
 6.125667e-01  7.973528e-01  1.847861e-01  2.254656e-01
 1.341425e+00  1.404163e+00  6.273746e-02  2.193354e-01
 1.829615e+00  1.708577e+00 -1.210376e-01  1.977974e-01
 2.075229e+00  1.998817e+00 -7.641210e-02  1.860640e-01
 2.246819e+00  2.299882e+00  5.306226e-02  1.783411e-01
 2.361310e+00  2.419524e+00  5.821438e-02  1.734797e-01
 2.314953e+00  2.305114e+00 -9.839220e-03  1.754185e-01
 2.050665e+00  1.938931e+00 -1.117348e-01  1.872079e-01
 1.495590e+00  1.362112e+00 -1.334778e-01  2.134199e-01
 6.620377e-01  5.502829e-01 -1.117548e-01  2.254656e-01
 5.217741e-03 -1.729023e-01 -1.781200e-01  2.254656e-01
 1.497199e-01 -1.166690e-01 -2.663889e-01  2.254656e-01
 8.439427e-01  6.255600e-01 -2.183827e-01  2.254656e-01
 1.477901e+00  1.229233e+00 -2.486676e-01  2.141639e-01
 1.836285e+00  1.572790e+00 -2.634946e-01  1.974732e-01
 2.043462e+00  1.921098e+00 -1.223642e-01  1.875450e-01
 2.207494e+00  2.253535e+00  4.604169e-02  1.800666e-01
 2.349869e+00  2.357499e+00  7.629407e-03  1.739544e-01
 2.319770e+00  2.268895e+00 -5.087462e-02  1.752152e-01
