#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.578958e+00 -6.320403e-01  1.256423e-01
 5.032700e+00  4.501484e+00 -5.312160e-01  1.282354e-01
 4.484340e+00  4.161074e+00 -3.232661e-01  1.372875e-01
 3.447220e+00  3.416956e+00 -3.026367e-02  1.607618e-01
 2.084374e+00  2.307639e+00  2.232656e-01  2.152171e-01
 7.998387e-01  1.039512e+00  2.396734e-01  2.613876e-01
 1.940469e-02  1.523634e-01  1.329588e-01  2.613876e-01
 2.921057e-05 -2.174240e-02 -2.177161e-02  2.613876e-01
 7.285977e-01  6.741501e-01 -5.444756e-02  2.613876e-01
 1.889364e+00  1.902646e+00  1.328225e-02  2.259503e-01
 2.942955e+00  3.045355e+00  1.023996e-01  1.768235e-01
 3.366410e+00  3.520856e+00  1.544461e-01  1.630800e-01
 2.942955e+00  3.045425e+00  1.024699e-01  1.768235e-01
 1.889362e+00  1.901889e+00  1.252728e-02  2.259504e-01
 7.285884e-01  7.033246e-01 -2.526380e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.523657e-01  1.329610e-01  2.613876e-01
 7.998387e-01  1.039532e+00  2.396931e-01  2.613876e-01
 2.084374e+00  2.307642e+00  2.232683e-01  2.152171e-01
 3.447223e+00  3.416811e+00 -3.041226e-02  1.607617e-01
 4.484344e+00  4.160437e+00 -3.239069e-01  1.372874e-01
 5.032698e+00  4.501375e+00 -5.313236e-01  1.282354e-01
 5.210998e+00  4.578554e+00 -6.324439e-01  1.256423e-01
 5.236732e+00  4.579857e+00 -6.568750e-01  1.252804e-01
