#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.589623e+00 -6.213753e-01  1.256423e-01
 5.032700e+00  4.526935e+00 -5.057656e-01  1.282354e-01
 4.484340e+00  4.180512e+00 -3.038276e-01  1.372875e-01
 3.447220e+00  3.411228e+00 -3.599168e-02  1.607618e-01
 2.084374e+00  2.284708e+00  2.003347e-01  2.152171e-01
 7.998387e-01  1.019072e+00  2.192333e-01  2.613876e-01
 1.940469e-02  1.435548e-01  1.241501e-01  2.613876e-01
 2.921057e-05 -2.183621e-02 -2.186542e-02  2.613876e-01
 7.285977e-01  6.737726e-01 -5.482515e-02  2.613876e-01
 1.889364e+00  1.888888e+00 -4.754476e-04  2.259503e-01
 2.942955e+00  3.009331e+00  6.637562e-02  1.768235e-01
 3.366410e+00  3.472944e+00  1.065343e-01  1.630800e-01
 2.942955e+00  3.009402e+00  6.644642e-02  1.768235e-01
 1.889362e+00  1.888135e+00 -1.226867e-03  2.259504e-01
 7.285884e-01  7.029411e-01 -2.564737e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.435571e-01  1.241524e-01  2.613876e-01
 7.998387e-01  1.019092e+00  2.192532e-01  2.613876e-01
 2.084374e+00  2.284711e+00  2.003374e-01  2.152171e-01
 3.447223e+00  3.411084e+00 -3.613873e-02  1.607617e-01
 4.484344e+00  4.179876e+00 -3.044679e-01  1.372874e-01
 5.032698e+00  4.526823e+00 -5.058753e-01  1.282354e-01
 5.210998e+00  4.589150e+00 -6.218480e-01  1.256423e-01
 5.236732e+00  4.580390e+00 -6.563423e-01  1.252804e-01
