#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  2.026651e+00  4.374245e-02  1.904050e-01
 1.311862e+00  1.521371e+00  2.095082e-01  2.202942e-01
 5.008413e-01  7.394162e-01  2.385749e-01  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  6.660609e-02 -5.405832e-03  2.254656e-01
 6.125667e-01  8.002515e-01  1.876847e-01  2.254656e-01
 1.341425e+00  1.408039e+00  6.661329e-02  2.193354e-01
 1.829615e+00  1.712023e+00 -1.175916e-01  1.977974e-01
 2.075229e+00  2.000269e+00 -7.495945e-02  1.860640e-01
 2.246819e+00  2.298900e+00  5.208018e-02  1.783411e-01
 2.361310e+00  2.416626e+00  5.531654e-02  1.734797e-01
 2.314953e+00  2.301279e+00 -1.367469e-02  1.754185e-01
 2.050665e+00  1.934988e+00 -1.156776e-01  1.872079e-01
 1.495590e+00  1.359007e+00 -1.365828e-01  2.134199e-01
 6.620377e-01  5.487957e-01 -1.132420e-01  2.254656e-01
 5.217741e-03 -1.728619e-01 -1.780796e-01  2.254656e-01
 1.497199e-01 -1.154215e-01 -2.651413e-01  2.254656e-01
 8.439427e-01  6.283237e-01 -2.156190e-01  2.254656e-01
 1.477901e+00  1.233052e+00 -2.448487e-01  2.141639e-01
 1.836285e+00  1.576192e+00 -2.600926e-01  1.974732e-01
 2.043462e+00  1.922552e+00 -1.209095e-01  1.875450e-01
 2.207494e+00  2.252429e+00  4.493579e-02  1.800666e-01
 2.349869e+00  2.354373e+00  4.503593e-03  1.739544e-01
 2.319770e+00  2.264845e+00 -5.492555e-02  1.752152e-01
