#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.758717e+00  1.558241e+00 -2.004767e-01  2.178764e-01
 2.643339e+00  2.196965e+00 -4.463736e-01  1.759982e-01
 2.909667e+00  2.595037e+00 -3.146299e-01  1.662593e-01
 2.960348e+00  2.657157e+00 -3.031903e-01  1.645498e-01
 2.927587e+00  2.674007e+00 -2.535802e-01  1.656499e-01
 2.875554e+00  2.706786e+00 -1.687684e-01  1.674348e-01
 2.685293e+00  2.626226e+00 -5.906749e-02  1.743759e-01
 2.081119e+00  2.145183e+00  6.406449e-02  2.011497e-01
 1.057507e+00  1.328935e+00  2.714282e-01  2.439028e-01
 2.042141e-01  5.760551e-01  3.718410e-01  2.441042e-01
 2.087919e-02  3.899317e-01  3.690525e-01  2.441042e-01
 6.122781e-01  9.275440e-01  3.152659e-01  2.441042e-01
 1.720603e+00  1.774528e+00  5.392521e-02  2.198703e-01
 2.574574e+00  2.526695e+00 -4.787958e-02  1.787322e-01
 2.898985e+00  3.001809e+00  1.028244e-01  1.666253e-01
 2.958953e+00  3.127005e+00  1.680523e-01  1.645963e-01
 2.918949e+00  3.134271e+00  2.153224e-01  1.659430e-01
 2.850289e+00  2.974715e+00  1.244266e-01  1.683186e-01
 2.606833e+00  2.537948e+00 -6.888562e-02  1.774379e-01
 2.010017e+00  1.629323e+00 -3.806942e-01  2.047529e-01
 1.133431e+00  6.294543e-01 -5.039769e-01  2.430296e-01
 2.916353e-01 -2.247937e-02 -3.141147e-01  2.441042e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.441042e-01
 5.368411e-01  6.667666e-01  1.299255e-01  2.441042e-01
