#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  2.030908e+00  4.799923e-02  1.904050e-01
 1.311862e+00  1.524777e+00  2.129146e-01  2.202942e-01
 5.008413e-01  7.411745e-01  2.403332e-01  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  6.489822e-02 -7.113704e-03  2.254656e-01
 6.125667e-01  7.967985e-01  1.842318e-01  2.254656e-01
 1.341425e+00  1.403612e+00  6.218652e-02  2.193354e-01
 1.829615e+00  1.708371e+00 -1.212443e-01  1.977974e-01
 2.075229e+00  1.999069e+00 -7.615995e-02  1.860640e-01
 2.246819e+00  2.300402e+00  5.358301e-02  1.783411e-01
 2.361310e+00  2.420000e+00  5.868998e-02  1.734797e-01
 2.314953e+00  2.305410e+00 -9.543648e-03  1.754185e-01
 2.050665e+00  1.939112e+00 -1.115533e-01  1.872079e-01
 1.495590e+00  1.362295e+00 -1.332941e-01  2.134199e-01
 6.620377e-01  5.504611e-01 -1.115766e-01  2.254656e-01
 5.217741e-03 -1.728853e-01 -1.781031e-01  2.254656e-01
 1.497199e-01 -1.169574e-01 -2.666773e-01  2.254656e-01
 8.439427e-01  6.250008e-01 -2.189419e-01  2.254656e-01
 1.477901e+00  1.228683e+00 -2.492178e-01  2.141639e-01
 1.836285e+00  1.572587e+00 -2.636973e-01  1.974732e-01
 2.043462e+00  1.921354e+00 -1.221075e-01  1.875450e-01
 2.207494e+00  2.254058e+00  4.656425e-02  1.800666e-01
 2.349869e+00  2.357973e+00  8.103361e-03  1.739544e-01
 2.319770e+00  2.269192e+00 -5.057857e-02  1.752152e-01
