#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  1.984135e+00  1.226564e-03  1.904050e-01
 1.311862e+00  1.476236e+00  1.643736e-01  2.202942e-01
 5.008413e-01  7.141806e-01  2.133393e-01  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  8.963901e-02  1.762709e-02  2.254656e-01
 6.125667e-01  8.529404e-01  2.403737e-01  2.254656e-01
 1.341425e+00  1.502676e+00  1.612503e-01  2.193354e-01
 1.829615e+00  1.845335e+00  1.571993e-02  1.977974e-01
 2.075229e+00  2.143193e+00  6.796447e-02  1.860640e-01
 2.246819e+00  2.409492e+00  1.626727e-01  1.783411e-01
 2.361310e+00  2.466777e+00  1.054677e-01  1.734797e-01
 2.314953e+00  2.293186e+00 -2.176748e-02  1.754185e-01
 2.050665e+00  1.892385e+00 -1.582801e-01  1.872079e-01
 1.495590e+00  1.312541e+00 -1.830483e-01  2.134199e-01
 6.620377e-01  5.207984e-01 -1.412393e-01  2.254656e-01
 5.217741e-03 -1.747869e-01 -1.800047e-01  2.254656e-01
 1.497199e-01 -9.310316e-02 -2.428230e-01  2.254656e-01
 8.439427e-01  6.808373e-01 -1.631054e-01  2.254656e-01
 1.477901e+00  1.328030e+00 -1.498704e-01  2.141639e-01
 1.836285e+00  1.709702e+00 -1.265822e-01  1.974732e-01
 2.043462e+00  2.065361e+00  2.189865e-02  1.875450e-01
 2.207494e+00  2.362017e+00  1.545237e-01  1.800666e-01
 2.349869e+00  2.403222e+00  5.335293e-02  1.739544e-01
 2.319770e+00  2.256246e+00 -6.352444e-02  1.752152e-01
