#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.758717e+00  1.540723e+00 -2.179946e-01  2.178764e-01
 2.643339e+00  2.155602e+00 -4.877374e-01  1.759982e-01
 2.909667e+00  2.562400e+00 -3.472664e-01  1.662593e-01
 2.960348e+00  2.659096e+00 -3.012515e-01  1.645498e-01
 2.927587e+00  2.702276e+00 -2.253104e-01  1.656499e-01
 2.875554e+00  2.720193e+00 -1.553613e-01  1.674348e-01
 2.685293e+00  2.587549e+00 -9.774459e-02  1.743759e-01
 2.081119e+00  2.060616e+00 -2.050263e-02  2.011497e-01
 1.057507e+00  1.245407e+00  1.878998e-01  2.439028e-01
 2.042141e-01  5.333794e-01  3.291653e-01  2.441042e-01
 2.087919e-02  3.891268e-01  3.682476e-01  2.441042e-01
 6.122781e-01  9.348818e-01  3.226037e-01  2.441042e-01
 1.720603e+00  1.754031e+00  3.342794e-02  2.198703e-01
 2.574574e+00  2.483656e+00 -9.091848e-02  1.787322e-01
 2.898985e+00  2.973497e+00  7.451205e-02  1.666253e-01
 2.958953e+00  3.136924e+00  1.779705e-01  1.645963e-01
 2.918949e+00  3.166425e+00  2.474767e-01  1.659430e-01
 2.850289e+00  2.980906e+00  1.306179e-01  1.683186e-01
 2.606833e+00  2.485912e+00 -1.209213e-01  1.774379e-01
 2.010017e+00  1.541578e+00 -4.684394e-01  2.047529e-01
 1.133431e+00  5.532427e-01 -5.801885e-01  2.430296e-01
 2.916353e-01 -5.777118e-02 -3.494065e-01  2.441042e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.441042e-01
 5.368411e-01  6.732656e-01  1.364245e-01  2.441042e-01
