#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  1.987265e+00  4.356233e-03  1.904050e-01
 1.311862e+00  1.472392e+00  1.605294e-01  2.202942e-01
 5.008413e-01  7.112362e-01  2.103949e-01  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  9.015501e-02  1.814309e-02  2.254656e-01
 6.125667e-01  8.508905e-01  2.383238e-01  2.254656e-01
 1.341425e+00  1.497860e+00  1.564352e-01  2.193354e-01
 1.829615e+00  1.844036e+00  1.442160e-02  1.977974e-01
 2.075229e+00  2.152993e+00  7.776444e-02  1.860640e-01
 2.246819e+00  2.430806e+00  1.839866e-01  1.783411e-01
 2.361310e+00  2.489965e+00  1.286552e-01  1.734797e-01
 2.314953e+00  2.308235e+00 -6.718738e-03  1.754185e-01
 2.050665e+00  1.895921e+00 -1.547439e-01  1.872079e-01
 1.495590e+00  1.309322e+00 -1.862673e-01  2.134199e-01
 6.620377e-01  5.183698e-01 -1.436679e-01  2.254656e-01
 5.217741e-03 -1.745786e-01 -1.797963e-01  2.254656e-01
 1.497199e-01 -9.271386e-02 -2.424337e-01  2.254656e-01
 8.439427e-01  6.786583e-01 -1.652844e-01  2.254656e-01
 1.477901e+00  1.323224e+00 -1.546771e-01  2.141639e-01
 1.836285e+00  1.708522e+00 -1.277625e-01  1.974732e-01
 2.043462e+00  2.075369e+00  3.190711e-02  1.875450e-01
 2.207494e+00  2.383416e+00  1.759228e-01  1.800666e-01
 2.349869e+00  2.426190e+00  7.632063e-02  1.739544e-01
 2.319770e+00  2.270824e+00 -4.894649e-02  1.752152e-01
