#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.613247e+00 -5.977507e-01  1.256423e-01
 5.032700e+00  4.564371e+00 -4.683289e-01  1.282354e-01
 4.484340e+00  4.213728e+00 -2.706117e-01  1.372875e-01
 3.447220e+00  3.425273e+00 -2.194665e-02  1.607618e-01
 2.084374e+00  2.285421e+00  2.010475e-01  2.152171e-01
 7.998387e-01  1.017341e+00  2.175021e-01  2.613876e-01
 1.940469e-02  1.425808e-01  1.231761e-01  2.613876e-01
 2.921057e-05 -2.191188e-02 -2.194109e-02  2.613876e-01
 7.285977e-01  6.763575e-01 -5.224021e-02  2.613876e-01
 1.889364e+00  1.892433e+00  3.069598e-03  2.259503e-01
 2.942955e+00  3.007461e+00  6.450587e-02  1.768235e-01
 3.366410e+00  3.466548e+00  1.001385e-01  1.630800e-01
 2.942955e+00  3.007532e+00  6.457706e-02  1.768235e-01
 1.889362e+00  1.891683e+00  2.321110e-03  2.259504e-01
 7.285884e-01  7.055217e-01 -2.306675e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.425830e-01  1.231783e-01  2.613876e-01
 7.998387e-01  1.017361e+00  2.175221e-01  2.613876e-01
 2.084374e+00  2.285424e+00  2.010502e-01  2.152171e-01
 3.447223e+00  3.425131e+00 -2.209247e-02  1.607617e-01
 4.484344e+00  4.213092e+00 -2.712516e-01  1.372874e-01
 5.032698e+00  4.564258e+00 -4.684401e-01  1.282354e-01
 5.210998e+00  4.612718e+00 -5.982796e-01  1.256423e-01
 5.236732e+00  4.594576e+00 -6.421560e-01  1.252804e-01
