#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  1.983259e+00  3.503306e-04  1.904050e-01
 1.311862e+00  1.475137e+00  1.632743e-01  2.202942e-01
 5.008413e-01  7.135876e-01  2.127463e-01  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  8.994926e-02  1.793734e-02  2.254656e-01
 6.125667e-01  8.531198e-01  2.405531e-01  2.254656e-01
 1.341425e+00  1.502479e+00  1.610537e-01  2.193354e-01
 1.829615e+00  1.845183e+00  1.556769e-02  1.977974e-01
 2.075229e+00  2.143708e+00  6.847886e-02  1.860640e-01
 2.246819e+00  2.410619e+00  1.638000e-01  1.783411e-01
 2.361310e+00  2.467692e+00  1.063826e-01  1.734797e-01
 2.314953e+00  2.293220e+00 -2.173298e-02  1.754185e-01
 2.050665e+00  1.891559e+00 -1.591062e-01  1.872079e-01
 1.495590e+00  1.311518e+00 -1.840713e-01  2.134199e-01
 6.620377e-01  5.202654e-01 -1.417724e-01  2.254656e-01
 5.217741e-03 -1.747924e-01 -1.800101e-01  2.254656e-01
 1.497199e-01 -9.279940e-02 -2.425193e-01  2.254656e-01
 8.439427e-01  6.810289e-01 -1.629138e-01  2.254656e-01
 1.477901e+00  1.327847e+00 -1.500533e-01  2.141639e-01
 1.836285e+00  1.709569e+00 -1.267154e-01  1.974732e-01
 2.043462e+00  2.065888e+00  2.242615e-02  1.875450e-01
 2.207494e+00  2.363159e+00  1.556657e-01  1.800666e-01
 2.349869e+00  2.404134e+00  5.426494e-02  1.739544e-01
 2.319770e+00  2.256241e+00 -6.352946e-02  1.752152e-01
