#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.758717e+00  1.525496e+00 -2.332211e-01  2.178764e-01
 2.643339e+00  2.152260e+00 -4.910788e-01  1.759982e-01
 2.909667e+00  2.576817e+00 -3.328501e-01  1.662593e-01
 2.960348e+00  2.684981e+00 -2.753669e-01  1.645498e-01
 2.927587e+00  2.733528e+00 -1.940583e-01  1.656499e-01
 2.875554e+00  2.759443e+00 -1.161111e-01  1.674348e-01
 2.685293e+00  2.637587e+00 -4.770658e-02  1.743759e-01
 2.081119e+00  2.120618e+00  3.949950e-02  2.011497e-01
 1.057507e+00  1.297895e+00  2.403880e-01  2.439028e-01
 2.042141e-01  5.614159e-01  3.572018e-01  2.441042e-01
 2.087919e-02  3.890183e-01  3.681391e-01  2.441042e-01
 6.122781e-01  9.168672e-01  3.045891e-01  2.441042e-01
 1.720603e+00  1.736304e+00  1.570158e-02  2.198703e-01
 2.574574e+00  2.481065e+00 -9.350911e-02  1.787322e-01
 2.898985e+00  2.988137e+00  8.915249e-02  1.666253e-01
 2.958953e+00  3.161314e+00  2.023604e-01  1.645963e-01
 2.918949e+00  3.195540e+00  2.765908e-01  1.659430e-01
 2.850289e+00  3.019527e+00  1.692388e-01  1.683186e-01
 2.606833e+00  2.537131e+00 -6.970272e-02  1.774379e-01
 2.010017e+00  1.599060e+00 -4.109570e-01  2.047529e-01
 1.133431e+00  5.995408e-01 -5.338904e-01  2.430296e-01
 2.916353e-01 -3.547702e-02 -3.271124e-01  2.441042e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.441042e-01
 5.368411e-01  6.587416e-01  1.219005e-01  2.441042e-01
