#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.081157e+00  1.034781e+00 -4.637593e-02  2.134019e-01
 1.011242e-01 -3.076050e-02 -1.318847e-01  2.137524e-01
 1.885039e-04 -1.564095e-03 -1.752599e-03  2.137524e-01
 7.574311e-01  8.678010e-01  1.103699e-01  2.137524e-01
 1.770055e+00  1.895216e+00  1.251610e-01  1.902647e-01
 2.247264e+00  2.360006e+00  1.127426e-01  1.690577e-01
 1.775893e+00  1.902300e+00  1.264064e-01  1.899961e-01
 7.686505e-01  8.757370e-01  1.070865e-01  2.137524e-01
 1.819903e-03  1.139063e-03 -6.808405e-04  2.137524e-01
 1.021146e-01 -3.083877e-02 -1.329533e-01  2.137524e-01
 1.075660e+00  1.026887e+00 -4.877340e-02  2.134476e-01
 1.904862e+00  2.038866e+00  1.340037e-01  1.840629e-01
 1.075864e+00  1.027179e+00 -4.868469e-02  2.134460e-01
 1.021245e-01 -3.129455e-02 -1.334191e-01  2.137524e-01
 1.434738e-03  1.655138e-03  2.204003e-04  2.137524e-01
 7.686049e-01  8.755156e-01  1.069107e-01  2.137524e-01
 1.775929e+00  1.902250e+00  1.263209e-01  1.899944e-01
 2.247218e+00  2.360109e+00  1.128910e-01  1.690596e-01
 1.770127e+00  1.895375e+00  1.252476e-01  1.902613e-01
 7.576089e-01  8.675156e-01  1.099067e-01  2.137524e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.137524e-01
 1.004672e-01 -3.066417e-02 -1.311313e-01  2.137524e-01
 1.081164e+00  1.034790e+00 -4.637371e-02  2.134018e-01
 1.904706e+00  2.029681e+00  1.249754e-01  1.840701e-01
