#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  1.985192e+00  2.283538e-03  1.904050e-01
 1.311862e+00  1.475483e+00  1.636201e-01  2.202942e-01
 5.008413e-01  7.134859e-01  2.126446e-01  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  8.994845e-02  1.793653e-02  2.254656e-01
 6.125667e-01  8.528028e-01  2.402361e-01  2.254656e-01
 1.341425e+00  1.501816e+00  1.603905e-01  2.193354e-01
 1.829615e+00  1.845091e+00  1.547647e-02  1.977974e-01
 2.075229e+00  2.145468e+00  7.023898e-02  1.860640e-01
 2.246819e+00  2.414588e+00  1.677684e-01  1.783411e-01
 2.361310e+00  2.472510e+00  1.112000e-01  1.734797e-01
 2.314953e+00  2.297114e+00 -1.783908e-02  1.754185e-01
 2.050665e+00  1.893563e+00 -1.571021e-01  1.872079e-01
 1.495590e+00  1.311993e+00 -1.835964e-01  2.134199e-01
 6.620377e-01  5.202968e-01 -1.417409e-01  2.254656e-01
 5.217741e-03 -1.747209e-01 -1.799387e-01  2.254656e-01
 1.497199e-01 -9.281828e-02 -2.425382e-01  2.254656e-01
 8.439427e-01  6.806901e-01 -1.632526e-01  2.254656e-01
 1.477901e+00  1.327188e+00 -1.507128e-01  2.141639e-01
 1.836285e+00  1.709498e+00 -1.267864e-01  1.974732e-01
 2.043462e+00  2.067688e+00  2.422619e-02  1.875450e-01
 2.207494e+00  2.367143e+00  1.596497e-01  1.800666e-01
 2.349869e+00  2.408911e+00  5.904199e-02  1.739544e-01
 2.319770e+00  2.260050e+00 -5.972059e-02  1.752152e-01
