#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.081157e+00  1.034888e+00 -4.626928e-02  2.134019e-01
 1.011242e-01 -3.069845e-02 -1.318226e-01  2.137524e-01
 1.885039e-04 -1.564079e-03 -1.752583e-03  2.137524e-01
 7.574311e-01  8.677314e-01  1.103003e-01  2.137524e-01
 1.770055e+00  1.895088e+00  1.250334e-01  1.902647e-01
 2.247264e+00  2.359855e+00  1.125918e-01  1.690577e-01
 1.775893e+00  1.902172e+00  1.262788e-01  1.899961e-01
 7.686505e-01  8.756671e-01  1.070166e-01  2.137524e-01
 1.819903e-03  1.138824e-03 -6.810791e-04  2.137524e-01
 1.021146e-01 -3.077685e-02 -1.328914e-01  2.137524e-01
 1.075660e+00  1.026993e+00 -4.866696e-02  2.134476e-01
 1.904862e+00  2.038992e+00  1.341296e-01  1.840629e-01
 1.075864e+00  1.027285e+00 -4.857826e-02  2.134460e-01
 1.021245e-01 -3.123263e-02 -1.333572e-01  2.137524e-01
 1.434738e-03  1.654893e-03  2.201553e-04  2.137524e-01
 7.686049e-01  8.754458e-01  1.068409e-01  2.137524e-01
 1.775929e+00  1.902123e+00  1.261932e-01  1.899944e-01
 2.247218e+00  2.359959e+00  1.127402e-01  1.690596e-01
 1.770127e+00  1.895247e+00  1.251199e-01  1.902613e-01
 7.576089e-01  8.674460e-01  1.098371e-01  2.137524e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.137524e-01
 1.004672e-01 -3.060212e-02 -1.310693e-01  2.137524e-01
 1.081164e+00  1.034897e+00 -4.626704e-02  2.134018e-01
 1.904706e+00  2.029807e+00  1.251014e-01  1.840701e-01
