#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.578392e+00 -6.326064e-01  1.256423e-01
 5.032700e+00  4.501266e+00 -5.314347e-01  1.282354e-01
 4.484340e+00  4.161197e+00 -3.231428e-01  1.372875e-01
 3.447220e+00  3.417218e+00 -3.000220e-02  1.607618e-01
 2.084374e+00  2.307827e+00  2.234531e-01  2.152171e-01
 7.998387e-01  1.039577e+00  2.397388e-01  2.613876e-01
 1.940469e-02  1.523743e-01  1.329696e-01  2.613876e-01
 2.921057e-05 -2.174244e-02 -2.177165e-02  2.613876e-01
 7.285977e-01  6.740962e-01 -5.450150e-02  2.613876e-01
 1.889364e+00  1.902447e+00  1.308340e-02  2.259503e-01
 2.942955e+00  3.044974e+00  1.020190e-01  1.768235e-01
 3.366410e+00  3.520390e+00  1.539798e-01  1.630800e-01
 2.942955e+00  3.045045e+00  1.020893e-01  1.768235e-01
 1.889362e+00  1.901690e+00  1.232843e-02  2.259504e-01
 7.285884e-01  7.032706e-01 -2.531777e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.523766e-01  1.329719e-01  2.613876e-01
 7.998387e-01  1.039597e+00  2.397586e-01  2.613876e-01
 2.084374e+00  2.307830e+00  2.234558e-01  2.152171e-01
 3.447223e+00  3.417072e+00 -3.015079e-02  1.607617e-01
 4.484344e+00  4.160560e+00 -3.237836e-01  1.372874e-01
 5.032698e+00  4.501156e+00 -5.315423e-01  1.282354e-01
 5.210998e+00  4.577988e+00 -6.330101e-01  1.256423e-01
 5.236732e+00  4.579147e+00 -6.575847e-01  1.252804e-01
