#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.758717e+00  1.526087e+00 -2.326301e-01  2.178764e-01
 2.643339e+00  2.152001e+00 -4.913376e-01  1.759982e-01
 2.909667e+00  2.575461e+00 -3.342053e-01  1.662593e-01
 2.960348e+00  2.682955e+00 -2.773921e-01  1.645498e-01
 2.927587e+00  2.731205e+00 -1.963817e-01  1.656499e-01
 2.875554e+00  2.756673e+00 -1.188808e-01  1.674348e-01
 2.685293e+00  2.634296e+00 -5.099665e-02  1.743759e-01
 2.081119e+00  2.116944e+00  3.582473e-02  2.011497e-01
 1.057507e+00  1.294858e+00  2.373510e-01  2.439028e-01
 2.042141e-01  5.598802e-01  3.556661e-01  2.441042e-01
 2.087919e-02  3.890466e-01  3.681674e-01  2.441042e-01
 6.122781e-01  9.177836e-01  3.055055e-01  2.441042e-01
 1.720603e+00  1.737022e+00  1.641956e-02  2.198703e-01
 2.574574e+00  2.480761e+00 -9.381354e-02  1.787322e-01
 2.898985e+00  2.986787e+00  8.780238e-02  1.666253e-01
 2.958953e+00  3.159408e+00  2.004550e-01  1.645963e-01
 2.918949e+00  3.193377e+00  2.744282e-01  1.659430e-01
 2.850289e+00  3.016839e+00  1.665504e-01  1.683186e-01
 2.606833e+00  2.533841e+00 -7.299282e-02  1.774379e-01
 2.010017e+00  1.595610e+00 -4.144072e-01  2.047529e-01
 1.133431e+00  5.969128e-01 -5.365184e-01  2.430296e-01
 2.916353e-01 -3.666599e-02 -3.283013e-01  2.441042e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.441042e-01
 5.368411e-01  6.594547e-01  1.226136e-01  2.441042e-01
