#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.758717e+00  1.558325e+00 -2.003922e-01  2.178764e-01
 2.643339e+00  2.196685e+00 -4.466534e-01  1.759982e-01
 2.909667e+00  2.594599e+00 -3.150673e-01  1.662593e-01
 2.960348e+00  2.657039e+00 -3.033083e-01  1.645498e-01
 2.927587e+00  2.674430e+00 -2.531562e-01  1.656499e-01
 2.875554e+00  2.707477e+00 -1.680772e-01  1.674348e-01
 2.685293e+00  2.626624e+00 -5.866873e-02  1.743759e-01
 2.081119e+00  2.144933e+00  6.381429e-02  2.011497e-01
 1.057507e+00  1.328298e+00  2.707913e-01  2.439028e-01
 2.042141e-01  5.755820e-01  3.713679e-01  2.441042e-01
 2.087919e-02  3.899098e-01  3.690306e-01  2.441042e-01
 6.122781e-01  9.277950e-01  3.155170e-01  2.441042e-01
 1.720603e+00  1.774611e+00  5.400862e-02  2.198703e-01
 2.574574e+00  2.526380e+00 -4.819480e-02  1.787322e-01
 2.898985e+00  3.001400e+00  1.024156e-01  1.666253e-01
 2.958953e+00  3.126998e+00  1.680444e-01  1.645963e-01
 2.918949e+00  3.134806e+00  2.158569e-01  1.659430e-01
 2.850289e+00  2.975404e+00  1.251154e-01  1.683186e-01
 2.606833e+00  2.538196e+00 -6.863797e-02  1.774379e-01
 2.010017e+00  1.628947e+00 -3.810700e-01  2.047529e-01
 1.133431e+00  6.288275e-01 -5.046037e-01  2.430296e-01
 2.916353e-01 -2.288341e-02 -3.145188e-01  2.441042e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.441042e-01
 5.368411e-01  6.669906e-01  1.301495e-01  2.441042e-01
