#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.081157e+00  1.034011e+00 -4.714633e-02  2.134019e-01
 1.011242e-01 -3.162093e-02 -1.327451e-01  2.137524e-01
 1.885039e-04 -1.564586e-03 -1.753090e-03  2.137524e-01
 7.574311e-01  8.698755e-01  1.124444e-01  2.137524e-01
 1.770055e+00  1.899794e+00  1.297388e-01  1.902647e-01
 2.247264e+00  2.365777e+00  1.185129e-01  1.690577e-01
 1.775893e+00  1.906881e+00  1.309874e-01  1.899961e-01
 7.686505e-01  8.778242e-01  1.091737e-01  2.137524e-01
 1.819903e-03  1.144410e-03 -6.754927e-04  2.137524e-01
 1.021146e-01 -3.169861e-02 -1.338132e-01  2.137524e-01
 1.075660e+00  1.026115e+00 -4.954579e-02  2.134476e-01
 1.904862e+00  2.038347e+00  1.334851e-01  1.840629e-01
 1.075864e+00  1.026407e+00 -4.945716e-02  2.134460e-01
 1.021245e-01 -3.215439e-02 -1.342789e-01  2.137524e-01
 1.434738e-03  1.660526e-03  2.257888e-04  2.137524e-01
 7.686049e-01  8.776027e-01  1.089978e-01  2.137524e-01
 1.775929e+00  1.906831e+00  1.309018e-01  1.899944e-01
 2.247218e+00  2.365880e+00  1.186613e-01  1.690596e-01
 1.770127e+00  1.899953e+00  1.298253e-01  1.902613e-01
 7.576089e-01  8.695900e-01  1.119811e-01  2.137524e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.137524e-01
 1.004672e-01 -3.152469e-02 -1.319918e-01  2.137524e-01
 1.081164e+00  1.034020e+00 -4.714411e-02  2.134018e-01
 1.904706e+00  2.029163e+00  1.244568e-01  1.840701e-01
