#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  2.021361e+00  3.845241e-02  1.904050e-01
 1.311862e+00  1.517086e+00  2.052239e-01  2.202942e-01
 5.008413e-01  7.371675e-01  2.363262e-01  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  6.876785e-02 -3.244074e-03  2.254656e-01
 6.125667e-01  8.045256e-01  1.919589e-01  2.254656e-01
 1.341425e+00  1.413433e+00  7.200810e-02  2.193354e-01
 1.829615e+00  1.716447e+00 -1.131682e-01  1.977974e-01
 2.075229e+00  2.001763e+00 -7.346568e-02  1.860640e-01
 2.246819e+00  2.297141e+00  5.032180e-02  1.783411e-01
 2.361310e+00  2.412567e+00  5.125724e-02  1.734797e-01
 2.314953e+00  2.296204e+00 -1.874895e-02  1.754185e-01
 2.050665e+00  1.929841e+00 -1.208245e-01  1.872079e-01
 1.495590e+00  1.354842e+00 -1.407470e-01  2.134199e-01
 6.620377e-01  5.466211e-01 -1.154167e-01  2.254656e-01
 5.217741e-03 -1.728654e-01 -1.780831e-01  2.254656e-01
 1.497199e-01 -1.134456e-01 -2.631655e-01  2.254656e-01
 8.439427e-01  6.324628e-01 -2.114799e-01  2.254656e-01
 1.477901e+00  1.238386e+00 -2.395146e-01  2.141639e-01
 1.836285e+00  1.580562e+00 -2.557222e-01  1.974732e-01
 2.043462e+00  1.924040e+00 -1.194219e-01  1.875450e-01
 2.207494e+00  2.250531e+00  4.303695e-02  1.800666e-01
 2.349869e+00  2.350067e+00  1.973587e-04  1.739544e-01
 2.319770e+00  2.259538e+00 -6.023193e-02  1.752152e-01
