#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  2.030762e+00  4.785369e-02  1.904050e-01
 1.311862e+00  1.524740e+00  2.128779e-01  2.202942e-01
 5.008413e-01  7.412302e-01  2.403890e-01  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  6.485378e-02 -7.158142e-03  2.254656e-01
 6.125667e-01  7.968440e-01  1.842773e-01  2.254656e-01
 1.341425e+00  1.403852e+00  6.242649e-02  2.193354e-01
 1.829615e+00  1.708761e+00 -1.208537e-01  1.977974e-01
 2.075229e+00  1.999422e+00 -7.580737e-02  1.860640e-01
 2.246819e+00  2.300581e+00  5.376201e-02  1.783411e-01
 2.361310e+00  2.419963e+00  5.865350e-02  1.734797e-01
 2.314953e+00  2.305273e+00 -9.680116e-03  1.754185e-01
 2.050665e+00  1.938998e+00 -1.116675e-01  1.872079e-01
 1.495590e+00  1.362303e+00 -1.332866e-01  2.134199e-01
 6.620377e-01  5.505788e-01 -1.114589e-01  2.254656e-01
 5.217741e-03 -1.728446e-01 -1.780623e-01  2.254656e-01
 1.497199e-01 -1.170401e-01 -2.667600e-01  2.254656e-01
 8.439427e-01  6.250113e-01 -2.189314e-01  2.254656e-01
 1.477901e+00  1.228911e+00 -2.489895e-01  2.141639e-01
 1.836285e+00  1.572973e+00 -2.633115e-01  1.974732e-01
 2.043462e+00  1.921711e+00 -1.217509e-01  1.875450e-01
 2.207494e+00  2.254217e+00  4.672334e-02  1.800666e-01
 2.349869e+00  2.357891e+00  8.021672e-03  1.739544e-01
 2.319770e+00  2.269004e+00 -5.076563e-02  1.752152e-01
