#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.758717e+00  1.531908e+00 -2.268093e-01  2.178764e-01
 2.643339e+00  2.155039e+00 -4.882997e-01  1.759982e-01
 2.909667e+00  2.573192e+00 -3.364744e-01  1.662593e-01
 2.960348e+00  2.676785e+00 -2.835622e-01  1.645498e-01
 2.927587e+00  2.723191e+00 -2.043960e-01  1.656499e-01
 2.875554e+00  2.746826e+00 -1.287283e-01  1.674348e-01
 2.685293e+00  2.622086e+00 -6.320736e-02  1.743759e-01
 2.081119e+00  2.102089e+00  2.097020e-02  2.011497e-01
 1.057507e+00  1.281380e+00  2.238729e-01  2.439028e-01
 2.042141e-01  5.522989e-01  3.480848e-01  2.441042e-01
 2.087919e-02  3.889920e-01  3.681128e-01  2.441042e-01
 6.122781e-01  9.233205e-01  3.110425e-01  2.441042e-01
 1.720603e+00  1.743580e+00  2.297716e-02  2.198703e-01
 2.574574e+00  2.483574e+00 -9.100016e-02  1.787322e-01
 2.898985e+00  2.984328e+00  8.534290e-02  1.666253e-01
 2.958953e+00  3.153508e+00  1.945547e-01  1.645963e-01
 2.918949e+00  3.185921e+00  2.669719e-01  1.659430e-01
 2.850289e+00  3.007289e+00  1.570000e-01  1.683186e-01
 2.606833e+00  2.521425e+00 -8.540824e-02  1.774379e-01
 2.010017e+00  1.581336e+00 -4.286816e-01  2.047529e-01
 1.133431e+00  5.849531e-01 -5.484781e-01  2.430296e-01
 2.916353e-01 -4.273890e-02 -3.343742e-01  2.441042e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.441042e-01
 5.368411e-01  6.640751e-01  1.272340e-01  2.441042e-01
