#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.579029e+00 -6.319695e-01  1.256423e-01
 5.032700e+00  4.501500e+00 -5.312000e-01  1.282354e-01
 4.484340e+00  4.161040e+00 -3.232994e-01  1.372875e-01
 3.447220e+00  3.416913e+00 -3.030741e-02  1.607618e-01
 2.084374e+00  2.307621e+00  2.232468e-01  2.152171e-01
 7.998387e-01  1.039519e+00  2.396801e-01  2.613876e-01
 1.940469e-02  1.523740e-01  1.329694e-01  2.613876e-01
 2.921057e-05 -2.174239e-02 -2.177160e-02  2.613876e-01
 7.285977e-01  6.741460e-01 -5.445167e-02  2.613876e-01
 1.889364e+00  1.902658e+00  1.329374e-02  2.259503e-01
 2.942955e+00  3.045394e+00  1.024383e-01  1.768235e-01
 3.366410e+00  3.520909e+00  1.544988e-01  1.630800e-01
 2.942955e+00  3.045464e+00  1.025086e-01  1.768235e-01
 1.889362e+00  1.901901e+00  1.253876e-02  2.259504e-01
 7.285884e-01  7.033205e-01 -2.526790e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.523763e-01  1.329716e-01  2.613876e-01
 7.998387e-01  1.039539e+00  2.396999e-01  2.613876e-01
 2.084374e+00  2.307623e+00  2.232495e-01  2.152171e-01
 3.447223e+00  3.416767e+00 -3.045601e-02  1.607617e-01
 4.484344e+00  4.160404e+00 -3.239402e-01  1.372874e-01
 5.032698e+00  4.501391e+00 -5.313076e-01  1.282354e-01
 5.210998e+00  4.578625e+00 -6.323731e-01  1.256423e-01
 5.236732e+00  4.579951e+00 -6.567809e-01  1.252804e-01
