#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  2.030595e+00  4.768603e-02  1.904050e-01
 1.311862e+00  1.524541e+00  2.126782e-01  2.202942e-01
 5.008413e-01  7.410283e-01  2.401871e-01  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  6.508894e-02 -6.922978e-03  2.254656e-01
 6.125667e-01  7.971882e-01  1.846215e-01  2.254656e-01
 1.341425e+00  1.404014e+00  6.258866e-02  2.193354e-01
 1.829615e+00  1.708459e+00 -1.211559e-01  1.977974e-01
 2.075229e+00  1.998665e+00 -7.656365e-02  1.860640e-01
 2.246819e+00  2.299694e+00  5.287446e-02  1.783411e-01
 2.361310e+00  2.419321e+00  5.801114e-02  1.734797e-01
 2.314953e+00  2.304945e+00 -1.000858e-02  1.754185e-01
 2.050665e+00  1.938814e+00 -1.118515e-01  1.872079e-01
 1.495590e+00  1.362073e+00 -1.335164e-01  2.134199e-01
 6.620377e-01  5.503286e-01 -1.117091e-01  2.254656e-01
 5.217741e-03 -1.728806e-01 -1.780984e-01  2.254656e-01
 1.497199e-01 -1.167965e-01 -2.665164e-01  2.254656e-01
 8.439427e-01  6.253651e-01 -2.185776e-01  2.254656e-01
 1.477901e+00  1.229070e+00 -2.488304e-01  2.141639e-01
 1.836285e+00  1.572663e+00 -2.636218e-01  1.974732e-01
 2.043462e+00  1.920949e+00 -1.225130e-01  1.875450e-01
 2.207494e+00  2.253332e+00  4.583865e-02  1.800666e-01
 2.349869e+00  2.357265e+00  7.395512e-03  1.739544e-01
 2.319770e+00  2.268699e+00 -5.107092e-02  1.752152e-01
