#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.591993e+00 -6.190054e-01  1.256423e-01
 5.032700e+00  4.540867e+00 -4.918329e-01  1.282354e-01
 4.484340e+00  4.198120e+00 -2.862196e-01  1.372875e-01
 3.447220e+00  3.422854e+00 -2.436598e-02  1.607618e-01
 2.084374e+00  2.289633e+00  2.052589e-01  2.152171e-01
 7.998387e-01  1.020912e+00  2.210737e-01  2.613876e-01
 1.940469e-02  1.441314e-01  1.247267e-01  2.613876e-01
 2.921057e-05 -2.187071e-02 -2.189992e-02  2.613876e-01
 7.285977e-01  6.738767e-01 -5.472097e-02  2.613876e-01
 1.889364e+00  1.887799e+00 -1.564944e-03  2.259503e-01
 2.942955e+00  3.004021e+00  6.106535e-02  1.768235e-01
 3.366410e+00  3.464797e+00  9.838735e-02  1.630800e-01
 2.942955e+00  3.004092e+00  6.113632e-02  1.768235e-01
 1.889362e+00  1.887047e+00 -2.315063e-03  2.259504e-01
 7.285884e-01  7.030429e-01 -2.554550e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.441337e-01  1.247290e-01  2.613876e-01
 7.998387e-01  1.020932e+00  2.210936e-01  2.613876e-01
 2.084374e+00  2.289635e+00  2.052616e-01  2.152171e-01
 3.447223e+00  3.422711e+00 -2.451247e-02  1.607617e-01
 4.484344e+00  4.197484e+00 -2.868597e-01  1.372874e-01
 5.032698e+00  4.540755e+00 -4.919433e-01  1.282354e-01
 5.210998e+00  4.591494e+00 -6.195036e-01  1.256423e-01
 5.236732e+00  4.576371e+00 -6.603612e-01  1.252804e-01
