#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.081157e+00  1.034770e+00 -4.638681e-02  2.134019e-01
 1.011242e-01 -3.075194e-02 -1.318761e-01  2.137524e-01
 1.885039e-04 -1.564085e-03 -1.752589e-03  2.137524e-01
 7.574311e-01  8.677517e-01  1.103206e-01  2.137524e-01
 1.770055e+00  1.895098e+00  1.250432e-01  1.902647e-01
 2.247264e+00  2.359855e+00  1.125909e-01  1.690577e-01
 1.775893e+00  1.902182e+00  1.262887e-01  1.899961e-01
 7.686505e-01  8.756874e-01  1.070369e-01  2.137524e-01
 1.819903e-03  1.138998e-03 -6.809047e-04  2.137524e-01
 1.021146e-01 -3.083021e-02 -1.329448e-01  2.137524e-01
 1.075660e+00  1.026876e+00 -4.878412e-02  2.134476e-01
 1.904862e+00  2.038839e+00  1.339766e-01  1.840629e-01
 1.075864e+00  1.027168e+00 -4.869539e-02  2.134460e-01
 1.021245e-01 -3.128598e-02 -1.334105e-01  2.137524e-01
 1.434738e-03  1.655059e-03  2.203216e-04  2.137524e-01
 7.686049e-01  8.754660e-01  1.068611e-01  2.137524e-01
 1.775929e+00  1.902133e+00  1.262031e-01  1.899944e-01
 2.247218e+00  2.359958e+00  1.127392e-01  1.690596e-01
 1.770127e+00  1.895257e+00  1.251298e-01  1.902613e-01
 7.576089e-01  8.674663e-01  1.098574e-01  2.137524e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.137524e-01
 1.004672e-01 -3.065561e-02 -1.311228e-01  2.137524e-01
 1.081164e+00  1.034780e+00 -4.638456e-02  2.134018e-01
 1.904706e+00  2.029654e+00  1.249484e-01  1.840701e-01
