#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.758717e+00  7.805064e-01 -9.782111e-01  2.178764e-01
 2.643339e+00  8.560067e-01 -1.787332e+00  1.759982e-01
 2.909667e+00  9.958618e-01 -1.913805e+00  1.662593e-01
 2.960348e+00  1.080842e+00 -1.879505e+00  1.645498e-01
 2.927587e+00  1.166271e+00 -1.761316e+00  1.656499e-01
 2.875554e+00  1.100550e+00 -1.775004e+00  1.674348e-01
 2.685293e+00  8.359797e-01 -1.849313e+00  1.743759e-01
 2.081119e+00  4.389990e-01 -1.642120e+00  2.011497e-01
 1.057507e+00  1.297758e-01 -9.277313e-01  2.439028e-01
 2.042141e-01  9.952582e-02 -1.046883e-01  2.441042e-01
 2.087919e-02  3.982481e-01  3.773690e-01  2.441042e-01
 6.122781e-01  8.052381e-01  1.929601e-01  2.441042e-01
 1.720603e+00  1.001004e+00 -7.195990e-01  2.198703e-01
 2.574574e+00  1.153044e+00 -1.421530e+00  1.787322e-01
 2.898985e+00  1.404398e+00 -1.494586e+00  1.666253e-01
 2.958953e+00  1.576215e+00 -1.382739e+00  1.645963e-01
 2.918949e+00  1.631250e+00 -1.287698e+00  1.659430e-01
 2.850289e+00  1.326429e+00 -1.523859e+00  1.683186e-01
 2.606833e+00  7.297342e-01 -1.877099e+00  1.774379e-01
 2.010017e+00  1.279708e-02 -1.997220e+00  2.047529e-01
 1.133431e+00 -4.204109e-01 -1.553842e+00  2.430296e-01
 2.916353e-01 -3.949041e-01 -6.865394e-01  2.441042e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.441042e-01
 5.368411e-01  4.881479e-01 -4.869318e-02  2.441042e-01
