#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.577897e+00 -6.331013e-01  1.256423e-01
 5.032700e+00  4.501498e+00 -5.312026e-01  1.282354e-01
 4.484340e+00  4.161745e+00 -3.225949e-01  1.372875e-01
 3.447220e+00  3.417127e+00 -3.009259e-02  1.607618e-01
 2.084374e+00  2.306616e+00  2.222418e-01  2.152171e-01
 7.998387e-01  1.037878e+00  2.380392e-01  2.613876e-01
 1.940469e-02  1.512702e-01  1.318655e-01  2.613876e-01
 2.921057e-05 -2.174270e-02 -2.177192e-02  2.613876e-01
 7.285977e-01  6.747606e-01 -5.383706e-02  2.613876e-01
 1.889364e+00  1.902806e+00  1.344239e-02  2.259503e-01
 2.942955e+00  3.044424e+00  1.014684e-01  1.768235e-01
 3.366410e+00  3.519343e+00  1.529332e-01  1.630800e-01
 2.942955e+00  3.044494e+00  1.015387e-01  1.768235e-01
 1.889362e+00  1.902049e+00  1.268740e-02  2.259504e-01
 7.285884e-01  7.039349e-01 -2.465356e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.512724e-01  1.318677e-01  2.613876e-01
 7.998387e-01  1.037898e+00  2.380590e-01  2.613876e-01
 2.084374e+00  2.306618e+00  2.222445e-01  2.152171e-01
 3.447223e+00  3.416982e+00 -3.024118e-02  1.607617e-01
 4.484344e+00  4.161108e+00 -3.232357e-01  1.372874e-01
 5.032698e+00  4.501388e+00 -5.313103e-01  1.282354e-01
 5.210998e+00  4.577493e+00 -6.335051e-01  1.256423e-01
 5.236732e+00  4.578299e+00 -6.584333e-01  1.252804e-01
