#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.081157e+00  1.032757e+00 -4.840004e-02  2.134019e-01
 1.011242e-01 -3.238057e-02 -1.335047e-01  2.137524e-01
 1.885039e-04 -1.564863e-03 -1.753367e-03  2.137524e-01
 7.574311e-01  8.708114e-01  1.133803e-01  2.137524e-01
 1.770055e+00  1.901578e+00  1.315227e-01  1.902647e-01
 2.247264e+00  2.367919e+00  1.206555e-01  1.690577e-01
 1.775893e+00  1.908666e+00  1.327722e-01  1.899961e-01
 7.686505e-01  8.787649e-01  1.101144e-01  2.137524e-01
 1.819903e-03  1.147643e-03 -6.722596e-04  2.137524e-01
 1.021146e-01 -3.245695e-02 -1.345715e-01  2.137524e-01
 1.075660e+00  1.024863e+00 -5.079711e-02  2.134476e-01
 1.904862e+00  2.036899e+00  1.320367e-01  1.840629e-01
 1.075864e+00  1.025155e+00 -5.070840e-02  2.134460e-01
 1.021245e-01 -3.291275e-02 -1.350373e-01  2.137524e-01
 1.434738e-03  1.663770e-03  2.290328e-04  2.137524e-01
 7.686049e-01  8.785434e-01  1.099385e-01  2.137524e-01
 1.775929e+00  1.908616e+00  1.326866e-01  1.899944e-01
 2.247218e+00  2.368022e+00  1.208038e-01  1.690596e-01
 1.770127e+00  1.901736e+00  1.316092e-01  1.902613e-01
 7.576089e-01  8.705258e-01  1.129169e-01  2.137524e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.137524e-01
 1.004672e-01 -3.228449e-02 -1.327516e-01  2.137524e-01
 1.081164e+00  1.032766e+00 -4.839783e-02  2.134018e-01
 1.904706e+00  2.027714e+00  1.230085e-01  1.840701e-01
